t1,t2
"Root_weight, Shoot_weight",89.6
"Root_weight, Root_length",76.8
"Root_weight, Shoot_length",81.5
"Root_weight, Root_Na+",59.3
"Root_weight, Root_K+",54.4
"Root_weight, Shoot_Na+",50.4
"Root_weight, Shoot_K+",56.7
"Root_weight, Chlorophyll_A",67.7
"Root_weight, Chlorophyll_B",65.1
"Root_weight, Stress_Root_weight",78.9
"Root_weight, Stress_Shoot_weight",77.6
"Root_weight, Stress_Root_length",69.3
"Root_weight, Stress_Shoot_length",73.4
"Root_weight, Stress_Root_Na+",53
"Root_weight, Stress_Root_K+",50.4
"Root_weight, Stress_Shoot_Na+",54.4
"Root_weight, Stress_Shoot_K+",51.4
"Root_weight, SES",68.8
"Root_weight, Stress_Chlorophyll_A",71.3
"Root_weight, Stress_Chlorophyll_B",70
"Root_weight, Width_WO_husk",52.9
"Root_weight, Length_WO_husk",64.6
"Root_weight, Height_WO_husk",60.9
"Root_weight, Seed_Weight",66.6
"Root_weight, Root_thickness",89.2
"Root_weight, Shoot_thickness",84.3
"Root_weight, Stress_Root_thickness",70.8
"Root_weight, Stress_Shoot_thickness",75
"Root_weight, Lost_Root_weight",81.6
"Root_weight, Lost_Shoot_weight",78.9
"Root_weight, Lost_Root_length",55.4
"Root_weight, Lost_Shoot_length",65.8
"Root_weight, Lost_Root_thickness",77.5
"Root_weight, Lost_Shoot_thickness",66.5
"Root_weight, Lost_Chlorophyll_A",61.1
"Root_weight, Lost_Chlorophyll_B",58
"Root_weight, Seed_volume",64.7
"Root_weight, Seed_density",52.5
"Shoot_weight, Root_length",69.3
"Shoot_weight, Shoot_length",87
"Shoot_weight, Root_Na+",57.4
"Shoot_weight, Root_K+",56
"Shoot_weight, Shoot_Na+",52.6
"Shoot_weight, Shoot_K+",55
"Shoot_weight, Chlorophyll_A",71.4
"Shoot_weight, Chlorophyll_B",68.9
"Shoot_weight, Stress_Root_weight",75.9
"Shoot_weight, Stress_Shoot_weight",81
"Shoot_weight, Stress_Root_length",66.1
"Shoot_weight, Stress_Shoot_length",76.7
"Shoot_weight, Stress_Root_Na+",54.3
"Shoot_weight, Stress_Root_K+",52.1
"Shoot_weight, Stress_Shoot_Na+",54.7
"Shoot_weight, Stress_Shoot_K+",50.7
"Shoot_weight, SES",69.6
"Shoot_weight, Stress_Chlorophyll_A",72.8
"Shoot_weight, Stress_Chlorophyll_B",71.9
"Shoot_weight, Width_WO_husk",55.9
"Shoot_weight, Length_WO_husk",65.4
"Shoot_weight, Height_WO_husk",63.9
"Shoot_weight, Seed_Weight",70
"Shoot_weight, Root_thickness",83.1
"Shoot_weight, Shoot_thickness",94.9
"Shoot_weight, Stress_Root_thickness",69.7
"Shoot_weight, Stress_Shoot_thickness",77.1
"Shoot_weight, Lost_Root_weight",72
"Shoot_weight, Lost_Shoot_weight",89.7
"Shoot_weight, Lost_Root_length",51.7
"Shoot_weight, Lost_Shoot_length",69.4
"Shoot_weight, Lost_Root_thickness",71.6
"Shoot_weight, Lost_Shoot_thickness",76.4
"Shoot_weight, Lost_Chlorophyll_A",60.6
"Shoot_weight, Lost_Chlorophyll_B",57.2
"Shoot_weight, Seed_volume",68.3
"Shoot_weight, Seed_density",50.8
"Root_length, Shoot_length",67.4
"Root_length, Root_Na+",54.8
"Root_length, Root_K+",50.1
"Root_length, Shoot_Na+",50.7
"Root_length, Shoot_K+",52.6
"Root_length, Chlorophyll_A",61.3
"Root_length, Chlorophyll_B",58.2
"Root_length, Stress_Root_weight",67.9
"Root_length, Stress_Shoot_weight",60.9
"Root_length, Stress_Root_length",75.1
"Root_length, Stress_Shoot_length",60.1
"Root_length, Stress_Root_Na+",56.2
"Root_length, Stress_Root_K+",57
"Root_length, Stress_Shoot_Na+",52.7
"Root_length, Stress_Shoot_K+",50.1
"Root_length, SES",57.3
"Root_length, Stress_Chlorophyll_A",55.6
"Root_length, Stress_Chlorophyll_B",55.9
"Root_length, Width_WO_husk",64.6
"Root_length, Length_WO_husk",54.3
"Root_length, Height_WO_husk",66.2
"Root_length, Seed_Weight",62.9
"Root_length, Root_thickness",54.1
"Root_length, Shoot_thickness",66.5
"Root_length, Stress_Root_thickness",53.4
"Root_length, Stress_Shoot_thickness",59.7
"Root_length, Lost_Root_weight",64.5
"Root_length, Lost_Shoot_weight",66.1
"Root_length, Lost_Root_length",71.7
"Root_length, Lost_Shoot_length",61.7
"Root_length, Lost_Root_thickness",57.2
"Root_length, Lost_Shoot_thickness",59.8
"Root_length, Lost_Chlorophyll_A",50.6
"Root_length, Lost_Chlorophyll_B",50.1
"Root_length, Seed_volume",62.8
"Root_length, Seed_density",51
"Shoot_length, Root_Na+",51.5
"Shoot_length, Root_K+",56.7
"Shoot_length, Shoot_Na+",50.1
"Shoot_length, Shoot_K+",57.9
"Shoot_length, Chlorophyll_A",71.4
"Shoot_length, Chlorophyll_B",66.5
"Shoot_length, Stress_Root_weight",72.5
"Shoot_length, Stress_Shoot_weight",76.1
"Shoot_length, Stress_Root_length",63.5
"Shoot_length, Stress_Shoot_length",82.3
"Shoot_length, Stress_Root_Na+",57.5
"Shoot_length, Stress_Root_K+",54.5
"Shoot_length, Stress_Shoot_Na+",58.3
"Shoot_length, Stress_Shoot_K+",52.9
"Shoot_length, SES",67.7
"Shoot_length, Stress_Chlorophyll_A",70.3
"Shoot_length, Stress_Chlorophyll_B",69.8
"Shoot_length, Width_WO_husk",53.9
"Shoot_length, Length_WO_husk",60.4
"Shoot_length, Height_WO_husk",62.4
"Shoot_length, Seed_Weight",64.6
"Shoot_length, Root_thickness",75.2
"Shoot_length, Shoot_thickness",69.7
"Shoot_length, Stress_Root_thickness",67.7
"Shoot_length, Stress_Shoot_thickness",67.4
"Shoot_length, Lost_Root_weight",65.9
"Shoot_length, Lost_Shoot_weight",77
"Shoot_length, Lost_Root_length",52.6
"Shoot_length, Lost_Shoot_length",80
"Shoot_length, Lost_Root_thickness",64.7
"Shoot_length, Lost_Shoot_thickness",57.1
"Shoot_length, Lost_Chlorophyll_A",58.2
"Shoot_length, Lost_Chlorophyll_B",56.9
"Shoot_length, Seed_volume",63.2
"Shoot_length, Seed_density",50.4
"Root_Na+, Root_K+",60.1
"Root_Na+, Shoot_Na+",51.9
"Root_Na+, Shoot_K+",56
"Root_Na+, Chlorophyll_A",51
"Root_Na+, Chlorophyll_B",51.7
"Root_Na+, Stress_Root_weight",56.8
"Root_Na+, Stress_Shoot_weight",53.3
"Root_Na+, Stress_Root_length",51.7
"Root_Na+, Stress_Shoot_length",50.9
"Root_Na+, Stress_Root_Na+",51.9
"Root_Na+, Stress_Root_K+",51
"Root_Na+, Stress_Shoot_Na+",51.2
"Root_Na+, Stress_Shoot_K+",50.1
"Root_Na+, SES",51
"Root_Na+, Stress_Chlorophyll_A",52.9
"Root_Na+, Stress_Chlorophyll_B",55.7
"Root_Na+, Width_WO_husk",58.7
"Root_Na+, Length_WO_husk",53.7
"Root_Na+, Height_WO_husk",58.7
"Root_Na+, Seed_Weight",58.8
"Root_Na+, Root_thickness",57.6
"Root_Na+, Shoot_thickness",58.2
"Root_Na+, Stress_Root_thickness",58.8
"Root_Na+, Stress_Shoot_thickness",55.3
"Root_Na+, Lost_Root_weight",53.8
"Root_Na+, Lost_Shoot_weight",56.3
"Root_Na+, Lost_Root_length",56
"Root_Na+, Lost_Shoot_length",53.6
"Root_Na+, Lost_Root_thickness",50.5
"Root_Na+, Lost_Shoot_thickness",53.1
"Root_Na+, Lost_Chlorophyll_A",52.3
"Root_Na+, Lost_Chlorophyll_B",54
"Root_Na+, Seed_volume",60.5
"Root_Na+, Seed_density",56.9
"Root_K+, Shoot_Na+",54.9
"Root_K+, Shoot_K+",50
"Root_K+, Chlorophyll_A",52.3
"Root_K+, Chlorophyll_B",50.1
"Root_K+, Stress_Root_weight",53.2
"Root_K+, Stress_Shoot_weight",56.3
"Root_K+, Stress_Root_length",55.3
"Root_K+, Stress_Shoot_length",53.4
"Root_K+, Stress_Root_Na+",51.9
"Root_K+, Stress_Root_K+",51.6
"Root_K+, Stress_Shoot_Na+",51.4
"Root_K+, Stress_Shoot_K+",51.7
"Root_K+, SES",57.2
"Root_K+, Stress_Chlorophyll_A",54.8
"Root_K+, Stress_Chlorophyll_B",52.8
"Root_K+, Width_WO_husk",55.5
"Root_K+, Length_WO_husk",55
"Root_K+, Height_WO_husk",53.6
"Root_K+, Seed_Weight",52.6
"Root_K+, Root_thickness",55
"Root_K+, Shoot_thickness",53.5
"Root_K+, Stress_Root_thickness",50.3
"Root_K+, Stress_Shoot_thickness",56.8
"Root_K+, Lost_Root_weight",52.2
"Root_K+, Lost_Shoot_weight",52.8
"Root_K+, Lost_Root_length",55.5
"Root_K+, Lost_Shoot_length",55.1
"Root_K+, Lost_Root_thickness",55.2
"Root_K+, Lost_Shoot_thickness",51.7
"Root_K+, Lost_Chlorophyll_A",53.4
"Root_K+, Lost_Chlorophyll_B",52.5
"Root_K+, Seed_volume",51.8
"Root_K+, Seed_density",51.8
"Shoot_Na+, Shoot_K+",53.7
"Shoot_Na+, Chlorophyll_A",52.1
"Shoot_Na+, Chlorophyll_B",55.1
"Shoot_Na+, Stress_Root_weight",51
"Shoot_Na+, Stress_Shoot_weight",51.7
"Shoot_Na+, Stress_Root_length",54
"Shoot_Na+, Stress_Shoot_length",51.3
"Shoot_Na+, Stress_Root_Na+",50.5
"Shoot_Na+, Stress_Root_K+",51.4
"Shoot_Na+, Stress_Shoot_Na+",51.4
"Shoot_Na+, Stress_Shoot_K+",55.8
"Shoot_Na+, SES",55
"Shoot_Na+, Stress_Chlorophyll_A",52.8
"Shoot_Na+, Stress_Chlorophyll_B",51.9
"Shoot_Na+, Width_WO_husk",55.8
"Shoot_Na+, Length_WO_husk",56
"Shoot_Na+, Height_WO_husk",58.4
"Shoot_Na+, Seed_Weight",52
"Shoot_Na+, Root_thickness",51.1
"Shoot_Na+, Shoot_thickness",52.8
"Shoot_Na+, Stress_Root_thickness",51.6
"Shoot_Na+, Stress_Shoot_thickness",52.3
"Shoot_Na+, Lost_Root_weight",51.7
"Shoot_Na+, Lost_Shoot_weight",52.2
"Shoot_Na+, Lost_Root_length",53.6
"Shoot_Na+, Lost_Shoot_length",51.3
"Shoot_Na+, Lost_Root_thickness",50.3
"Shoot_Na+, Lost_Shoot_thickness",51.4
"Shoot_Na+, Lost_Chlorophyll_A",53.8
"Shoot_Na+, Lost_Chlorophyll_B",55.1
"Shoot_Na+, Seed_volume",52.6
"Shoot_Na+, Seed_density",52.6
"Shoot_K+, Chlorophyll_A",53.3
"Shoot_K+, Chlorophyll_B",52.8
"Shoot_K+, Stress_Root_weight",53.9
"Shoot_K+, Stress_Shoot_weight",51.5
"Shoot_K+, Stress_Root_length",53
"Shoot_K+, Stress_Shoot_length",56.3
"Shoot_K+, Stress_Root_Na+",50.2
"Shoot_K+, Stress_Root_K+",50.1
"Shoot_K+, Stress_Shoot_Na+",50.7
"Shoot_K+, Stress_Shoot_K+",50.7
"Shoot_K+, SES",50.4
"Shoot_K+, Stress_Chlorophyll_A",50.4
"Shoot_K+, Stress_Chlorophyll_B",51.9
"Shoot_K+, Width_WO_husk",55.9
"Shoot_K+, Length_WO_husk",55.9
"Shoot_K+, Height_WO_husk",58.7
"Shoot_K+, Seed_Weight",60.8
"Shoot_K+, Root_thickness",57.1
"Shoot_K+, Shoot_thickness",52.2
"Shoot_K+, Stress_Root_thickness",52.3
"Shoot_K+, Stress_Shoot_thickness",50.8
"Shoot_K+, Lost_Root_weight",53.9
"Shoot_K+, Lost_Shoot_weight",55
"Shoot_K+, Lost_Root_length",50.7
"Shoot_K+, Lost_Shoot_length",53.5
"Shoot_K+, Lost_Root_thickness",55.7
"Shoot_K+, Lost_Shoot_thickness",52.9
"Shoot_K+, Lost_Chlorophyll_A",52.4
"Shoot_K+, Lost_Chlorophyll_B",53.8
"Shoot_K+, Seed_volume",59.9
"Shoot_K+, Seed_density",50.2
"Chlorophyll_A, Chlorophyll_B",95.2
"Chlorophyll_A, Stress_Root_weight",58.8
"Chlorophyll_A, Stress_Shoot_weight",59.7
"Chlorophyll_A, Stress_Root_length",54.2
"Chlorophyll_A, Stress_Shoot_length",60.1
"Chlorophyll_A, Stress_Root_Na+",51.9
"Chlorophyll_A, Stress_Root_K+",50.3
"Chlorophyll_A, Stress_Shoot_Na+",51.9
"Chlorophyll_A, Stress_Shoot_K+",53.9
"Chlorophyll_A, SES",52.8
"Chlorophyll_A, Stress_Chlorophyll_A",59.3
"Chlorophyll_A, Stress_Chlorophyll_B",61.1
"Chlorophyll_A, Width_WO_husk",52.6
"Chlorophyll_A, Length_WO_husk",53.9
"Chlorophyll_A, Height_WO_husk",55.4
"Chlorophyll_A, Seed_Weight",56.1
"Chlorophyll_A, Root_thickness",64.8
"Chlorophyll_A, Shoot_thickness",68.5
"Chlorophyll_A, Stress_Root_thickness",57.8
"Chlorophyll_A, Stress_Shoot_thickness",57.4
"Chlorophyll_A, Lost_Root_weight",62.5
"Chlorophyll_A, Lost_Shoot_weight",69.6
"Chlorophyll_A, Lost_Root_length",56.3
"Chlorophyll_A, Lost_Shoot_length",66.7
"Chlorophyll_A, Lost_Root_thickness",60.3
"Chlorophyll_A, Lost_Shoot_thickness",63.9
"Chlorophyll_A, Lost_Chlorophyll_A",67.4
"Chlorophyll_A, Lost_Chlorophyll_B",69.5
"Chlorophyll_A, Seed_volume",55.9
"Chlorophyll_A, Seed_density",51.2
"Chlorophyll_B, Stress_Root_weight",56.5
"Chlorophyll_B, Stress_Shoot_weight",57.8
"Chlorophyll_B, Stress_Root_length",55
"Chlorophyll_B, Stress_Shoot_length",57.9
"Chlorophyll_B, Stress_Root_Na+",52.4
"Chlorophyll_B, Stress_Root_K+",50.8
"Chlorophyll_B, Stress_Shoot_Na+",50.9
"Chlorophyll_B, Stress_Shoot_K+",53.5
"Chlorophyll_B, SES",51.5
"Chlorophyll_B, Stress_Chlorophyll_A",57.4
"Chlorophyll_B, Stress_Chlorophyll_B",58.7
"Chlorophyll_B, Width_WO_husk",54.6
"Chlorophyll_B, Length_WO_husk",50.6
"Chlorophyll_B, Height_WO_husk",59.5
"Chlorophyll_B, Seed_Weight",56.4
"Chlorophyll_B, Root_thickness",63.8
"Chlorophyll_B, Shoot_thickness",67.8
"Chlorophyll_B, Stress_Root_thickness",54.6
"Chlorophyll_B, Stress_Shoot_thickness",56.1
"Chlorophyll_B, Lost_Root_weight",61.4
"Chlorophyll_B, Lost_Shoot_weight",67.9
"Chlorophyll_B, Lost_Root_length",52.5
"Chlorophyll_B, Lost_Shoot_length",62.8
"Chlorophyll_B, Lost_Root_thickness",61.5
"Chlorophyll_B, Lost_Shoot_thickness",64.2
"Chlorophyll_B, Lost_Chlorophyll_A",66.8
"Chlorophyll_B, Lost_Chlorophyll_B",74.7
"Chlorophyll_B, Seed_volume",56.7
"Chlorophyll_B, Seed_density",52
"Stress_Root_weight, Stress_Shoot_weight",92
"Stress_Root_weight, Stress_Root_length",77.4
"Stress_Root_weight, Stress_Shoot_length",82.6
"Stress_Root_weight, Stress_Root_Na+",56.7
"Stress_Root_weight, Stress_Root_K+",56
"Stress_Root_weight, Stress_Shoot_Na+",57.4
"Stress_Root_weight, Stress_Shoot_K+",52.8
"Stress_Root_weight, SES",84
"Stress_Root_weight, Stress_Chlorophyll_A",82.7
"Stress_Root_weight, Stress_Chlorophyll_B",81.4
"Stress_Root_weight, Width_WO_husk",56.6
"Stress_Root_weight, Length_WO_husk",59.9
"Stress_Root_weight, Height_WO_husk",65.1
"Stress_Root_weight, Seed_Weight",67.8
"Stress_Root_weight, Root_thickness",71.4
"Stress_Root_weight, Shoot_thickness",70.7
"Stress_Root_weight, Stress_Root_thickness",90.7
"Stress_Root_weight, Stress_Shoot_thickness",90.3
"Stress_Root_weight, Lost_Root_weight",63.4
"Stress_Root_weight, Lost_Shoot_weight",50.5
"Stress_Root_weight, Lost_Root_length",61.5
"Stress_Root_weight, Lost_Shoot_length",55.4
"Stress_Root_weight, Lost_Root_thickness",56.5
"Stress_Root_weight, Lost_Shoot_thickness",61.1
"Stress_Root_weight, Lost_Chlorophyll_A",76.7
"Stress_Root_weight, Lost_Chlorophyll_B",73.6
"Stress_Root_weight, Seed_volume",65.7
"Stress_Root_weight, Seed_density",52.9
"Stress_Shoot_weight, Stress_Root_length",73.5
"Stress_Shoot_weight, Stress_Shoot_length",88.8
"Stress_Shoot_weight, Stress_Root_Na+",56.5
"Stress_Shoot_weight, Stress_Root_K+",55.7
"Stress_Shoot_weight, Stress_Shoot_Na+",61.2
"Stress_Shoot_weight, Stress_Shoot_K+",51.9
"Stress_Shoot_weight, SES",89.5
"Stress_Shoot_weight, Stress_Chlorophyll_A",88.7
"Stress_Shoot_weight, Stress_Chlorophyll_B",86
"Stress_Shoot_weight, Width_WO_husk",57.5
"Stress_Shoot_weight, Length_WO_husk",62.1
"Stress_Shoot_weight, Height_WO_husk",66.1
"Stress_Shoot_weight, Seed_Weight",69.6
"Stress_Shoot_weight, Root_thickness",74.5
"Stress_Shoot_weight, Shoot_thickness",74.5
"Stress_Shoot_weight, Stress_Root_thickness",84.4
"Stress_Shoot_weight, Stress_Shoot_thickness",96.8
"Stress_Shoot_weight, Lost_Root_weight",57.3
"Stress_Shoot_weight, Lost_Shoot_weight",50.7
"Stress_Shoot_weight, Lost_Root_length",64.1
"Stress_Shoot_weight, Lost_Shoot_length",57.3
"Stress_Shoot_weight, Lost_Root_thickness",51.5
"Stress_Shoot_weight, Lost_Shoot_thickness",62.5
"Stress_Shoot_weight, Lost_Chlorophyll_A",82
"Stress_Shoot_weight, Lost_Chlorophyll_B",76.8
"Stress_Shoot_weight, Seed_volume",68
"Stress_Shoot_weight, Seed_density",51
"Stress_Root_length, Stress_Shoot_length",76.9
"Stress_Root_length, Stress_Root_Na+",54.3
